,Name,Surname,Division,Manager,Gender,LGBTQ,Nationality,Ethnicity,Disability,Age,Mobile Number,Email,Avez-vous déjà été victime/témoin de harcèlement sexuel ?,Avez-vous déjà été victime/témoin de discrimination raciale ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur le genre au travail ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur l'âge au travail ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur le genre ou l’orientation sexuelle ?,"Avez-vous déjà été témoin ou victime de discrimination fondée sur votre religion, culture ?",Avez-vous déjà été témoin ou victime de discrimination basée sur votre état de santé ou handicap au travail ?,Avez-vous déjà été témoin ou victime de discrimination basée sur votre parentalité ou future parentalité ?,Avez-vous déjà ressenti une situation de harcèlement moral ou psychologique au travail ?,Vous sentez-vous en mesure de signaler en toute sécurité des préoccupations concernant des comportements inappropriés au travail ?,"Dans le cas où vous avez déjà fait un signalement, comment jugez-vous le traitement de votre plainte ? (1 à 10, 10 étant totalement satisfait)",Estimez-vous que l'égalité est respectée au sein de votre entreprise ? (1 à 10),Dans quelle mesure diriez-vous que votre entreprise valorise la diversité et l'inclusion ? (1 à 10),"Vous sentez-vous apprécié pour le travail que vous accomplissez, indépendamment de votre identité sexuelle, de votre race, de votre handicap ou de votre nationalité ? (1 à 10)","Vous sentez-vous heureux au travail ? (1 à 10, 10 étant la meilleure note)","Vous sentez-vous en sécurité au travail ? (1 à 10, 10 étant la meilleure note)","Comment évaluez-vous votre niveau de stress au travail ? (1 à 10, où 10 représente le plus faible niveau de stress)","Comment évaluez-vous la qualité des relations avec vos collègues de travail ? (1 à 10, 10 étant la meilleure note)","Recommanderiez-vous l’entreprise à un proche ? (1 à 10, 10 tout à fait)",Vous sentez-vous respecté(e) et entendu(e) par vos collègues et votre hiérarchie ? (1 à 10),"Pensez-vous que votre entreprise valorise et promeut activement un environnement de travail inclusif ? (1 à 10, 10 tout à fait)","Pensez-vous que la direction et les managers de votre entreprise sont engagés et responsables en matière de diversité et d'inclusion ? (1 à 10, 10 tout à fait)","Selon vous, quelles mesures l'entreprise devrait-elle prendre pour mieux prévenir et gérer les discriminations ?",Votre entreprise propose-t-elle des formations régulières sur la diversité et l'inclusion pour tous les employés ?,L'entreprise dispose-t-elle de politiques claires et accessibles concernant la lutte contre la discrimination et le harcèlement ?,Avez-vous accès à une personne de contact ou à un service dédié pour signaler les incidents de discrimination ou de harcèlement ?,Salaire_Annuel,Pays,Continent,Moyenne_Toutes_Colonnes_Num
2597,Lily,Keys,Operations,No,Male,No,Polish,White,No,63,747 918 6123,Lily.Keys@mail.ca,Régulièrement,Régulièrement,Rarement,Régulièrement,Souvent,Souvent,Rarement,Parfois,Souvent,Jamais,1,7,8,7,8,8,9,3,9,4,8,9,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,33620,Poland,Europe,6.75
2598,Leroy,Gosling,Finance,No,Male,No,Canadian,White,No,45,595 610 5761,Leroy.Gosling@mail.ca,Jamais,Rarement,Souvent,Régulièrement,Jamais,Rarement,Régulièrement,Jamais,Rarement,Jamais,9,10,5,10,8,8,10,10,7,8,8,8,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,14942,Canada,North America,8.42
2599,Carmen,Williams,Sales,No,Male,No,American,White,No,51,869 649 6096,Carmen.Williams@mail.ca,Rarement,Parfois,Souvent,Rarement,Jamais,Rarement,Souvent,Rarement,Jamais,Régulièrement,9,8,6,9,9,5,8,2,10,8,8,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Oui,Oui,Non,13552,United States,North America,7.25
2600,Juliet,Wright,Sales,No,Male,Yes,English,Asian,No,37,111 849 1840,Juliet.Wright@mail.ca,Rarement,Parfois,Souvent,Parfois,Régulièrement,Rarement,Souvent,Parfois,Rarement,Régulièrement,9,9,8,10,3,6,5,9,6,8,9,7,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,82307,United Kingdom,Europe,7.42
2601,Fred,James,Operations,No,Male,No,Philippine,White,No,55,481 643 6021,Fred.James@mail.ca,Rarement,Rarement,Rarement,Rarement,Rarement,Jamais,Rarement,Rarement,Jamais,Jamais,9,9,7,7,5,7,10,10,7,8,9,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,35341,Philippines,Asia,7.92
2602,Marjorie,Oatway,Sales,No,Male,No,Canadian,White,No,37,716 532 7222,Marjorie.Oatway@mail.ca,Rarement,Jamais,Rarement,Régulièrement,Rarement,Jamais,Jamais,Rarement,Régulièrement,Souvent,7,10,3,10,8,5,10,8,7,8,8,7,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Non,Non,44410,Canada,North America,7.58
2603,Valerie,John,Sales,No,Female,No,Canadian,White,No,29,964 212 9366,Valerie.John@mail.ca,Rarement,Rarement,Souvent,Régulièrement,Rarement,Régulièrement,Rarement,Rarement,Jamais,Rarement,8,5,2,5,8,3,7,6,8,9,4,10,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Non,Non,82954,Canada,North America,6.25
2604,Lauren,Poole,HR,Yes,Male,Yes,Ukrainian,White,No,43,222 993 7498,Lauren.Poole@mail.ca,Rarement,Régulièrement,Parfois,Souvent,Régulièrement,Parfois,Souvent,Rarement,Rarement,Rarement,4,9,8,8,9,7,9,7,7,9,10,9,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Non,Non,23469,Ukraine,Europe,8.0
2605,Sienna,Hamilton,Sales,No,Male,No,Polish,Middle Eastern,No,49,348 444 9447,Sienna.Hamilton@mail.ca,Jamais,Rarement,Jamais,Rarement,Souvent,Rarement,Rarement,Souvent,Rarement,Parfois,6,9,4,2,2,9,7,5,9,4,7,10,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,78758,Poland,Europe,6.17
2606,Sabina,Chadwick,Finance,No,Male,No,Indian,White,No,28,776 251 6087,Sabina.Chadwick@mail.ca,Rarement,Parfois,Parfois,Rarement,Parfois,Parfois,Rarement,Rarement,Souvent,Souvent,4,7,6,7,7,9,6,8,4,7,3,9,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Oui,42336,India,Asia,6.42
2607,Kamila,Beal,IT,No,Male,No,American,White,No,43,435 672 9346,Kamila.Beal@mail.ca,Rarement,Jamais,Rarement,Rarement,Régulièrement,Rarement,Jamais,Parfois,Jamais,Parfois,10,8,7,5,5,8,5,4,9,7,10,6,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,42236,United States,North America,7.0
2608,Karla,Brock,IT,No,Female,Prefer not to say,American,Asian,No,43,248 762 4730,Karla.Brock@mail.ca,Régulièrement,Rarement,Souvent,Rarement,Rarement,Rarement,Parfois,Jamais,Parfois,Parfois,9,8,5,10,7,8,7,7,9,10,10,6,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,69985,United States,North America,8.0
2609,Aisha,Rees,Sales,No,Male,No,Korean,White,No,57,820 355 2817,Aisha.Rees@mail.ca,Rarement,Rarement,Régulièrement,Régulièrement,Rarement,Souvent,Jamais,Régulièrement,Parfois,Souvent,8,7,2,8,4,6,9,7,8,8,9,9,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Oui,Non,64764,South Korea,Asia,7.08
2610,Bethany,Veale,IT,No,Male,Yes,Colombian,Asian,No,27,262 390 7227,Bethany.Veale@mail.ca,Régulièrement,Parfois,Parfois,Rarement,Parfois,Souvent,Rarement,Rarement,Rarement,Jamais,7,5,5,9,6,7,7,7,4,9,8,5,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,21326,Colombia,South America,6.58
2611,Camden,Spencer,Marketing,No,Female,No,Saudi,Asian,No,30,497 588 5128,Camden.Spencer@mail.ca,Rarement,Jamais,Régulièrement,Parfois,Rarement,Souvent,Parfois,Rarement,Rarement,Rarement,4,5,10,9,6,8,3,5,7,9,4,6,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,32431,Saudi Arabia,Asia,6.33
2612,Nate,Gregory,Operations,No,Male,No,Canadian,White,No,35,886 750 7175,Nate.Gregory@mail.ca,Jamais,Jamais,Rarement,Jamais,Rarement,Rarement,Régulièrement,Jamais,Souvent,Régulièrement,7,8,8,7,7,8,9,6,9,8,9,7,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,75753,Canada,North America,7.75
2613,Karla,Funnell,Finance,No,Male,Yes,Chinese,Asian,No,27,999 981 3927,Karla.Funnell@mail.ca,Parfois,Souvent,Parfois,Rarement,Parfois,Parfois,Rarement,Rarement,Régulièrement,Jamais,9,5,8,6,7,7,1,8,5,9,7,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,72010,China,Asia,6.42
2614,Bryon,Pierce,Marketing,No,Male,No,American,White,No,40,541 679 9033,Bryon.Pierce@mail.ca,Rarement,Jamais,Souvent,Souvent,Parfois,Rarement,Parfois,Jamais,Parfois,Jamais,6,7,8,10,5,8,10,4,8,7,9,4,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,85229,United States,North America,7.17
2615,Fiona,Wade,HR,No,Female,Prefer not to say,Canadian,White,No,27,166 112 6103,Fiona.Wade@mail.ca,Parfois,Rarement,Souvent,Rarement,Rarement,Souvent,Rarement,Rarement,Parfois,Rarement,2,9,7,6,8,9,2,10,9,5,7,6,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,18466,Canada,North America,6.67
2616,Maya,Clarkson,Marketing,No,Male,No,Latvian,White,No,38,465 707 3294,Maya.Clarkson@mail.ca,Jamais,Jamais,Souvent,Rarement,Parfois,Souvent,Jamais,Parfois,Rarement,Rarement,10,8,9,10,9,10,6,7,9,8,3,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,89222,Latvia,Europe,8.0
2617,Denny,Downing,IT,No,Male,No,Canadian,White,Yes,40,234 942 4224,Denny.Downing@mail.ca,Jamais,Souvent,Souvent,Souvent,Rarement,Parfois,Souvent,Parfois,Jamais,Rarement,6,8,8,9,2,4,7,10,9,4,7,8,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,54174,Canada,North America,6.83
2618,Kieth,Silva,IT,No,Prefer not to say,No,Philippine,Asian,No,58,288 533 5905,Kieth.Silva@mail.ca,Jamais,Parfois,Parfois,Jamais,Jamais,Rarement,Parfois,Souvent,Rarement,Régulièrement,9,8,3,7,6,5,9,8,10,1,6,9,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Oui,22409,Philippines,Asia,6.75
2619,Diane,Fields,HR,No,Male,No,Canadian,White,No,26,500 733 4712,Diane.Fields@mail.ca,Rarement,Jamais,Parfois,Rarement,Rarement,Parfois,Rarement,Rarement,Rarement,Rarement,10,10,9,10,8,8,9,6,7,6,5,8,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,35594,Canada,North America,8.0
2620,Rocco,Gilbert,IT,Yes,Female,No,Canadian,White,No,32,503 360 8745,Rocco.Gilbert@mail.ca,Rarement,Rarement,Jamais,Rarement,Rarement,Rarement,Parfois,Rarement,Souvent,Rarement,8,8,7,5,7,8,6,6,7,9,10,9,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Oui,18729,Canada,North America,7.5
2621,Judith,Cann,Marketing,No,Female,No,Canadian,White,No,42,848 373 2670,Judith.Cann@mail.ca,Rarement,Jamais,Rarement,Rarement,Rarement,Souvent,Souvent,Rarement,Rarement,Parfois,7,2,8,8,7,5,3,10,8,2,9,4,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,52410,Canada,North America,6.08
2622,Carrie,Amstead,Sales,No,Male,No,Canadian,Asian,No,32,931 682 2802,Carrie.Amstead@mail.ca,Régulièrement,Souvent,Rarement,Rarement,Souvent,Jamais,Rarement,Parfois,Parfois,Régulièrement,7,7,1,7,10,8,3,6,3,10,9,8,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,46221,Canada,North America,6.58
2623,Nathan,Farrell,IT,No,Female,No,Indian,White,Yes,45,865 901 9189,Nathan.Farrell@mail.ca,Souvent,Souvent,Souvent,Jamais,Rarement,Souvent,Jamais,Rarement,Souvent,Rarement,4,8,8,3,5,8,10,6,8,5,7,10,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Non,Non,45432,India,Asia,6.83
2624,Marvin,Bennett,IT,No,Male,No,Canadian,White,No,41,188 624 7697,Marvin.Bennett@mail.ca,Parfois,Jamais,Jamais,Parfois,Régulièrement,Jamais,Rarement,Souvent,Régulièrement,Rarement,4,6,5,4,10,5,9,8,9,7,4,8,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Oui,15702,Canada,North America,6.58
2625,Denis,Janes,Sales,Yes,Female,Yes,Canadian,Asian,No,37,693 645 5788,Denis.Janes@mail.ca,Jamais,Rarement,Rarement,Régulièrement,Parfois,Régulièrement,Régulièrement,Parfois,Souvent,Souvent,9,6,5,5,6,8,8,9,7,7,4,5,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,83416,Canada,North America,6.58
2626,Vivian,Harrington,Finance,No,Male,No,English,White,No,34,700 572 1118,Vivian.Harrington@mail.ca,Rarement,Souvent,Jamais,Parfois,Rarement,Parfois,Jamais,Rarement,Souvent,Rarement,6,9,8,6,8,3,6,8,3,8,5,6,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Oui,54362,United Kingdom,Europe,6.33
2627,Alex,Rigg,Finance,No,Prefer not to say,No,Indonesian,White,No,36,245 784 9538,Alex.Rigg@mail.ca,Souvent,Souvent,Régulièrement,Parfois,Jamais,Jamais,Rarement,Rarement,Rarement,Rarement,2,8,5,9,5,10,9,8,5,6,6,4,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,14468,Indonesia,Asia,6.42
2628,Elisabeth,Pearson,Operations,Yes,Female,No,Canadian,White,No,45,577 648 5082,Elisabeth.Pearson@mail.ca,Régulièrement,Parfois,Souvent,Jamais,Parfois,Jamais,Parfois,Parfois,Jamais,Souvent,8,5,6,8,9,4,7,5,8,8,8,9,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Non,Non,27697,Canada,North America,7.08
2629,Marvin,Norman,IT,No,Male,No,Canadian,White,No,37,566 526 9860,Marvin.Norman@mail.ca,Souvent,Parfois,Parfois,Souvent,Parfois,Rarement,Souvent,Parfois,Rarement,Jamais,9,7,5,7,6,8,7,9,7,10,5,8,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,44234,Canada,North America,7.33
2630,Rick,Baxter,Sales,No,Female,No,Canadian,White,No,42,606 764 7627,Rick.Baxter@mail.ca,Rarement,Rarement,Rarement,Parfois,Parfois,Parfois,Régulièrement,Rarement,Souvent,Régulièrement,3,5,8,8,8,8,5,9,7,2,7,6,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,30861,Canada,North America,6.33
2631,Sarah,Summers,Operations,No,Male,No,Canadian,Asian,No,34,419 341 8193,Sarah.Summers@mail.ca,Jamais,Jamais,Jamais,Jamais,Souvent,Souvent,Parfois,Parfois,Souvent,Rarement,10,9,2,8,8,8,8,9,3,10,9,9,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Oui,Non,50949,Canada,North America,7.75
2632,Tony,Ingham,IT,No,Male,No,Indian,White,No,59,481 852 4969,Tony.Ingham@mail.ca,Rarement,Rarement,Rarement,Souvent,Souvent,Rarement,Rarement,Jamais,Souvent,Souvent,8,9,8,10,5,5,9,7,1,9,5,10,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Non,42965,India,Asia,7.17
2633,Jack,Paterson,Finance,No,Female,No,Bangladeshi,Asian,No,42,771 732 6120,Jack.Paterson@mail.ca,Souvent,Souvent,Rarement,Souvent,Souvent,Parfois,Souvent,Parfois,Rarement,Rarement,10,8,9,3,10,10,5,5,9,9,8,9,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,66455,Bangladesh,Asia,7.92
2634,Leah,Jordan,Marketing,No,Male,No,American,Black,Prefer not to say,58,539 670 8582,Leah.Jordan@mail.ca,Rarement,Parfois,Souvent,Parfois,Souvent,Parfois,Rarement,Parfois,Parfois,Régulièrement,7,9,9,4,2,8,5,5,7,8,7,3,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,79314,United States,North America,6.17
2635,Harry,Eagle,IT,No,Female,No,Vietnamese,Prefer not to say,No,27,491 314 7228,Harry.Eagle@mail.ca,Rarement,Rarement,Régulièrement,Parfois,Souvent,Rarement,Parfois,Rarement,Rarement,Jamais,10,9,9,10,6,2,9,8,5,7,10,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,67084,Vietnam,Asia,7.5
2636,Sofie,Bryson,Operations,No,Female,Yes,Lao,White,No,31,193 194 6077,Sofie.Bryson@mail.ca,Jamais,Parfois,Parfois,Parfois,Régulièrement,Rarement,Rarement,Parfois,Jamais,Rarement,7,6,7,9,5,5,2,4,5,9,9,2,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,42586,Laos,Asia,5.83
2637,Mike,Preston,HR,No,Male,No,Paraguayan,White,No,47,401 748 6113,Mike.Preston@mail.ca,Parfois,Parfois,Parfois,Jamais,Régulièrement,Parfois,Rarement,Parfois,Rarement,Jamais,9,9,6,9,8,8,7,7,10,7,10,8,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,73167,Paraguay,South America,8.17
2638,Boris,Noach,Operations,No,Non-binary/non-conforming,No,American,White,No,25,967 466 2995,Boris.Noach@mail.ca,Souvent,Souvent,Parfois,Souvent,Rarement,Parfois,Régulièrement,Rarement,Rarement,Souvent,8,9,10,7,7,8,5,7,6,8,5,6,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Oui,Oui,Non,47011,United States,North America,7.17
2639,Jane,Shaw,Operations,No,Male,No,Icelandic,White,No,46,822 671 6817,Jane.Shaw@mail.ca,Rarement,Rarement,Jamais,Jamais,Régulièrement,Régulièrement,Rarement,Rarement,Rarement,Souvent,9,1,6,7,8,8,8,5,4,8,7,9,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Oui,Oui,46779,Iceland,Europe,6.67
2640,Alexander,Woods,Operations,No,Female,No,Canadian,White,No,44,354 418 3125,Alexander.Woods@mail.ca,Régulièrement,Jamais,Souvent,Rarement,Rarement,Souvent,Souvent,Rarement,Parfois,Jamais,9,8,8,10,9,6,8,5,7,7,7,6,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,32090,Canada,North America,7.5
2641,Leroy,Forester,Finance,Yes,Male,No,Canadian,Asian,No,29,910 741 5961,Leroy.Forester@mail.ca,Jamais,Souvent,Souvent,Jamais,Souvent,Rarement,Parfois,Jamais,Régulièrement,Régulièrement,7,9,8,7,8,6,9,8,5,9,9,9,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Oui,42876,Canada,North America,7.83
2642,Leroy,Veale,IT,No,Male,Yes,American,White,No,58,719 969 4285,Leroy.Veale@mail.ca,Parfois,Rarement,Jamais,Souvent,Rarement,Régulièrement,Jamais,Rarement,Souvent,Régulièrement,10,6,7,4,6,7,7,4,9,6,9,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,53980,United States,North America,6.83
2643,Noah,Vernon,Finance,No,Prefer not to say,Yes,Korean,White,No,28,877 535 3198,Noah.Vernon@mail.ca,Rarement,Rarement,Jamais,Parfois,Régulièrement,Jamais,Parfois,Parfois,Parfois,Souvent,6,10,7,10,8,5,8,3,6,5,5,1,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,75330,South Korea,Asia,6.17
2644,Savannah,Patel,IT,No,Male,No,Chilean,White,No,39,850 955 7390,Savannah.Patel@mail.ca,Jamais,Jamais,Jamais,Parfois,Jamais,Souvent,Rarement,Souvent,Jamais,Rarement,8,10,6,8,3,1,9,7,6,10,6,5,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Oui,58881,Chile,South America,6.58
2645,Alessia,Flynn,Sales,No,Female,No,Canadian,White,No,25,488 794 8271,Alessia.Flynn@mail.ca,Rarement,Souvent,Rarement,Rarement,Parfois,Jamais,Jamais,Souvent,Rarement,Rarement,10,6,10,10,7,7,5,5,8,10,3,9,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Oui,Non,25162,Canada,North America,7.5
2646,Harvey,Stanley,Marketing,Yes,Female,No,Canadian,White,No,35,882 815 2821,Harvey.Stanley@mail.ca,Souvent,Souvent,Rarement,Jamais,Rarement,Rarement,Souvent,Régulièrement,Parfois,Rarement,8,8,5,8,9,10,7,9,9,5,9,3,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Oui,Non,86999,Canada,North America,7.5
2647,Irene,Harris,Operations,No,Prefer not to say,No,American,White,No,42,838 730 3630,Irene.Harris@mail.ca,Rarement,Jamais,Rarement,Souvent,Régulièrement,Souvent,Souvent,Rarement,Parfois,Jamais,4,8,7,9,3,7,10,7,4,8,5,1,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,86090,United States,North America,6.08
2648,Johnathan,Abbot,IT,No,Male,Yes,American,Asian,No,64,966 543 4972,Johnathan.Abbot@mail.ca,Jamais,Jamais,Parfois,Jamais,Rarement,Parfois,Parfois,Souvent,Régulièrement,Jamais,7,6,9,10,6,7,4,10,6,5,6,8,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,54823,United States,North America,7.0
2649,Allison,Gardner,Sales,Yes,Female,No,Indonesian,Asian,No,59,232 618 3932,Allison.Gardner@mail.ca,Souvent,Souvent,Souvent,Jamais,Régulièrement,Régulièrement,Jamais,Régulièrement,Parfois,Jamais,6,5,8,8,8,8,3,9,6,2,4,10,Promouvoir des politiques de tolérance zéro contre la discrimination.,Oui,Non,Non,31739,Indonesia,Asia,6.42
2650,Gina,Wright,Sales,No,Female,No,Canadian,White,Yes,41,130 980 4976,Gina.Wright@mail.ca,Parfois,Rarement,Rarement,Jamais,Jamais,Rarement,Parfois,Rarement,Souvent,Souvent,8,4,10,2,9,7,9,7,4,8,8,5,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Oui,34499,Canada,North America,6.75
2651,Gil,Evans,IT,No,Male,No,Japanese,Black,No,24,368 104 9139,Gil.Evans@mail.ca,Parfois,Rarement,Rarement,Rarement,Régulièrement,Rarement,Souvent,Rarement,Parfois,Régulièrement,7,8,6,9,10,9,8,6,10,7,10,8,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,36552,Japan,Asia,8.17
2652,Tony,Mould,IT,No,Female,No,American,White,No,34,689 306 4723,Tony.Mould@mail.ca,Parfois,Parfois,Parfois,Rarement,Jamais,Jamais,Parfois,Jamais,Rarement,Jamais,10,7,6,4,8,5,1,8,10,1,3,5,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Oui,33489,United States,North America,5.67
2653,Janice,Stone,IT,No,Transgender,Yes,Bangladeshi,White,No,41,379 147 5051,Janice.Stone@mail.ca,Rarement,Rarement,Parfois,Parfois,Jamais,Régulièrement,Rarement,Rarement,Jamais,Rarement,7,8,4,1,6,9,6,7,6,9,9,8,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Non,Non,49329,Bangladesh,Asia,6.67
2654,Alice,Snow,Marketing,No,Male,No,Indian,White,No,38,897 337 9519,Alice.Snow@mail.ca,Rarement,Rarement,Jamais,Jamais,Souvent,Rarement,Jamais,Parfois,Jamais,Parfois,9,9,9,5,2,5,3,10,5,8,1,8,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Oui,Oui,15228,India,Asia,6.17
2655,Nancy,Groves,Finance,Yes,Prefer not to say,No,Bolivian,White,No,34,225 812 1941,Nancy.Groves@mail.ca,Souvent,Jamais,Jamais,Parfois,Rarement,Souvent,Jamais,Parfois,Rarement,Rarement,3,4,8,9,7,9,7,9,4,8,4,6,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,46857,Bolivia,South America,6.5
2656,Eve,Morrow,IT,No,Male,No,Canadian,White,No,25,156 384 6204,Eve.Morrow@mail.ca,Souvent,Rarement,Parfois,Régulièrement,Jamais,Rarement,Jamais,Jamais,Rarement,Parfois,9,6,6,6,3,7,9,5,9,9,6,8,Promouvoir des politiques de tolérance zéro contre la discrimination.,Oui,Non,Oui,33880,Canada,North America,6.92
2657,Matthew,Farmer,Operations,Yes,Male,Yes,Vietnamese,Asian,No,34,183 483 6356,Matthew.Farmer@mail.ca,Jamais,Rarement,Souvent,Jamais,Parfois,Rarement,Souvent,Souvent,Rarement,Souvent,7,6,6,9,8,8,8,9,3,8,10,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Oui,Non,78974,Vietnam,Asia,7.25
2658,Jacob,Sawyer,IT,No,Male,No,American,White,No,45,732 241 7788,Jacob.Sawyer@mail.ca,Régulièrement,Rarement,Jamais,Rarement,Jamais,Rarement,Rarement,Rarement,Rarement,Jamais,6,9,7,8,4,3,3,9,9,10,8,2,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Oui,73912,United States,North America,6.5
2659,Emery,Radley,HR,No,Male,No,Ukrainian,White,No,37,249 353 8655,Emery.Radley@mail.ca,Parfois,Rarement,Parfois,Souvent,Jamais,Jamais,Rarement,Rarement,Souvent,Souvent,8,8,3,10,10,7,8,8,5,5,4,8,Promouvoir des politiques de tolérance zéro contre la discrimination.,Oui,Oui,Non,76381,Ukraine,Europe,7.0
2660,Drew,Fowler,Sales,No,Male,No,American,White,No,56,684 998 6284,Drew.Fowler@mail.ca,Rarement,Parfois,Souvent,Rarement,Souvent,Rarement,Parfois,Régulièrement,Rarement,Rarement,8,5,4,8,8,9,9,8,4,6,9,7,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,57275,United States,North America,7.08
2661,Greta,Lambert,HR,No,Female,No,Canadian,White,No,30,600 928 2727,Greta.Lambert@mail.ca,Rarement,Souvent,Rarement,Jamais,Rarement,Jamais,Rarement,Régulièrement,Rarement,Rarement,7,7,2,10,6,7,7,8,6,7,5,9,Promouvoir des politiques de tolérance zéro contre la discrimination.,Oui,Non,Non,26300,Canada,North America,6.75
2662,Greta,Farmer,Operations,No,Male,Yes,Canadian,White,No,46,791 367 6938,Greta.Farmer@mail.ca,Régulièrement,Souvent,Régulièrement,Régulièrement,Parfois,Régulièrement,Jamais,Parfois,Rarement,Souvent,8,3,8,9,6,5,1,3,6,5,9,5,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,70721,Canada,North America,5.67
2663,Elijah,Phillips,Marketing,No,Female,No,American,White,Yes,25,577 664 9554,Elijah.Phillips@mail.ca,Souvent,Souvent,Parfois,Souvent,Rarement,Souvent,Rarement,Régulièrement,Parfois,Rarement,10,8,9,5,7,8,9,5,8,9,7,9,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Oui,24174,United States,North America,7.83
2664,Brad,Mccormick,Sales,No,Male,No,German,White,No,60,841 591 7478,Brad.Mccormick@mail.ca,Régulièrement,Rarement,Rarement,Souvent,Rarement,Rarement,Parfois,Rarement,Régulièrement,Rarement,5,4,9,1,5,9,8,9,8,7,5,9,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,63087,Germany,Europe,6.58
